symbol,name
sh000001,上证指数
sh000002,Ａ股指数
sh000003,Ｂ股指数
sh000004,工业指数
sh000005,商业指数
sh000006,地产指数
sh000007,公用指数
sh000008,综合指数
sh000009,上证380
sh000010,上证180
sh000011,基金指数
sh000012,国债指数
sh000013,企债指数
sh000015,红利指数
sh000016,上证50
sh000017,新综指
sh000018,180金融
sh000019,治理指数
sh000020,中型综指
sh000021,180治理
sh000022,沪公司债
sh000025,180基建
sh000026,180资源
sh000027,180运输
sh000028,180成长
sh000029,180价值
sh000030,180R成长
sh000031,180R价值
sh000032,上证能源
sh000033,上证材料
sh000034,上证工业
sh000035,上证可选
sh000036,上证消费
sh000037,上证医药
sh000038,上证金融
sh000039,上证信息
sh000040,上证电信
sh000041,上证公用
sh000042,上证央企
sh000043,超大盘
sh000044,上证中盘
sh000045,上证小盘
sh000046,上证中小
sh000047,上证全指
sh000048,责任指数
sh000049,上证民企
sh000050,50等权
sh000051,180等权
sh000052,50基本
sh000053,180基本
sh000054,上证海外
sh000055,上证地企
sh000056,上证国企
sh000057,全指成长
sh000058,全指价值
sh000059,全R成长
sh000060,全R价值
sh000061,沪企债30
sh000062,上证沪企
sh000063,上证周期
sh000064,非周期
sh000065,上证龙头
sh000066,上证商品
sh000067,上证新兴
sh000068,上证资源
sh000069,消费80
sh000070,能源等权
sh000071,材料等权
sh000072,工业等权
sh000073,可选等权
sh000074,消费等权
sh000075,医药等权
sh000076,金融等权
sh000077,信息等权
sh000078,电信等权
sh000079,公用等权
sh000090,上证流通
sh000091,沪财中小
sh000092,资源50
sh000093,180分层
sh000094,上证上游
sh000095,上证中游
sh000096,上证下游
sh000097,高端装备
sh000098,上证F200
sh000099,上证F300
sh000100,上证F500
sh000101,5年信用
sh000102,沪投资品
sh000103,沪消费品
sh000104,380能源
sh000105,380材料
sh000106,380工业
sh000107,380可选
sh000108,380消费
sh000109,380医药
sh000110,380金融
sh000111,380信息
sh000112,380电信
sh000113,380公用
sh000114,持续产业
sh000115,380等权
sh000116,信用100
sh000117,380成长
sh000118,380价值
sh000119,380R成长
sh000120,380R价值
sh000121,医药主题
sh000122,农业主题
sh000123,180动态
sh000125,180稳定
sh000126,消费50
sh000128,380基本
sh000129,180波动
sh000130,380波动
sh000131,上证高新
sh000132,上证100
sh000133,上证150
sh000134,上证银行
sh000135,180高贝
sh000136,180低贝
sh000137,380高贝
sh000138,380低贝
sh000139,上证转债
sh000141,380动态
sh000142,380稳定
sh000145,优势资源
sh000146,优势制造
sh000147,优势消费
sh000148,消费领先
sh000149,180红利
sh000150,380红利
sh000151,上国红利
sh000152,上央红利
sh000153,上民红利
sh000155,市值百强
sh000158,上证环保
sh000159,沪股通
sh000160,沪新丝路
sh000161,沪中国造
sh000162,沪互联+
sh000170,50AH优选
sh000171,新兴成指
sh000188,中国波指
