symbol,ipo_date,ipo_years,last_report,3yr_grow_rate,grow_rate,grow,share_grow,start_bvps,now_bvps,eps,roe,debt_ratio,cash_ratio,earn_ttm,assets,equity,shares,name
000001,1991-04-03,30.22,2021-03-31,0.129,0.163,31.189,3.95,2.434,19.201,2.088,0.155,0.919,0.062,405.28,45729.74,3726.17,194.06,平安银行
000002,1991-01-29,30.4,2021-03-31,0.2,0.223,88.048,12.2,4.238,30.594,0.863,0.12,0.814,0.099,100.282,19078.605,3554.32,116.177,万  科Ａ
000004,1991-01-14,30.44,2020-09-30,0.464,0.092,6.854,1.0,1.292,8.856,0.443,0.0,0.056,0.083,0.731,15.483,14.617,1.651,国华网安
000005,1990-12-10,30.53,2020-09-30,0.065,0.03,1.939,2.86,2.39,1.62,-0.035,0.007,0.417,0.011,-0.37,29.392,17.145,10.585,ST星源
000006,1992-04-27,29.15,2020-12-31,0.112,0.093,7.121,5.99,4.883,5.806,0.669,0.097,0.492,0.121,9.029,154.348,78.38,13.5,深振业Ａ
000007,1992-04-13,29.19,2020-09-30,0.0,0.0,0.366,2.28,3.01,0.483,-0.176,-0.203,0.65,0.042,-0.608,4.781,1.672,3.464,*ST全新
000008,1992-05-07,29.13,2020-12-31,0.022,0.138,17.1,8.7,1.22,2.398,-0.321,0.015,0.48,0.056,-8.92,128.283,66.686,27.808,神州高铁
000009,1991-06-25,29.99,2021-03-31,0.1,0.112,10.645,2.73,1.351,5.263,0.549,0.073,0.579,0.162,14.152,322.326,135.756,25.792,中国宝安
000010,1995-10-27,25.65,2020-12-31,0.0,0.045,2.64,8.0,3.018,0.996,0.093,-0.052,0.77,0.019,0.764,35.417,8.163,8.199,美丽生态
000011,1992-03-30,29.23,2020-12-31,0.119,0.089,6.492,1.1,1.075,6.344,1.227,0.125,0.69,0.341,7.313,122.074,37.811,5.96,深物业A
000012,1992-02-28,29.32,2021-03-31,0.085,0.071,4.597,3.71,2.942,3.646,0.753,0.117,0.388,0.11,23.134,182.919,111.949,30.707,南  玻Ａ
000014,1992-06-02,29.05,2021-03-31,0.052,0.063,3.994,2.34,2.743,4.682,-0.186,-0.065,0.603,0.151,-0.375,23.76,9.444,2.017,沙河股份
000016,1992-03-27,29.24,2020-12-31,0.34,0.065,4.04,5.28,5.818,4.452,0.224,0.022,0.785,0.086,5.401,498.763,107.209,24.079,深康佳Ａ
000017,1992-03-31,29.23,2020-09-30,0.136,0.0,0.112,1.51,0.676,0.05,0.015,5.588,0.716,0.2,0.08,0.96,0.273,5.513,*ST中华A
000019,1992-10-12,28.69,2020-09-30,0.192,0.072,4.54,1.98,1.78,4.081,0.361,0.015,0.34,0.03,4.162,71.307,47.036,11.525,深粮控股
000020,1992-04-28,29.15,2020-09-30,0.012,0.003,1.069,1.0,1.105,1.181,0.023,0.015,0.469,0.033,0.065,6.299,3.344,2.832,深华发Ａ
000021,1994-02-02,27.38,2020-09-30,0.096,0.079,5.434,2.47,2.31,5.08,0.482,0.079,0.66,0.05,7.089,220.011,74.734,14.713,深科技
000023,1993-04-29,28.15,2020-09-30,0.072,0.026,1.744,1.05,2.561,4.254,0.065,0.014,0.752,0.109,0.091,23.818,5.903,1.388,深天地Ａ
000025,1993-06-21,28.0,2020-12-31,0.111,0.053,3.113,1.45,1.496,3.212,0.14,-0.027,0.19,0.122,0.603,17.084,13.846,4.311,特  力Ａ
000026,1993-06-03,28.05,2021-03-31,0.054,0.061,3.764,1.4,2.486,6.683,1.085,0.069,0.34,0.117,4.73,44.121,29.119,4.358,飞亚达
000027,1993-09-03,27.8,2020-12-31,0.139,0.102,8.925,2.59,2.555,8.798,0.897,0.118,0.633,0.079,42.675,1140.623,418.536,47.574,深圳能源
000028,1993-08-09,27.87,2021-03-31,0.187,0.158,26.015,1.8,2.8,40.468,3.64,0.162,0.597,0.124,15.583,430.208,173.254,4.281,国药一致
000029,1993-09-15,27.77,2020-12-31,0.098,0.044,2.573,1.0,1.405,3.615,0.287,0.029,0.259,0.541,2.9,49.369,36.571,10.117,深深房Ａ
000030,1993-09-29,27.73,2020-09-30,0.091,0.055,3.304,1.4,1.874,4.423,0.526,204.917,0.416,0.085,9.525,137.105,80.089,18.106,富奥股份
000031,1993-10-08,27.7,2020-12-31,0.144,0.125,13.381,3.36,2.674,10.649,0.262,0.078,0.772,0.157,11.227,1998.714,456.463,42.863,大悦城
000032,1993-10-28,27.65,2021-03-31,0.053,0.059,3.567,1.87,2.303,4.388,0.17,0.066,0.29,0.139,0.701,25.531,18.134,4.132,深桑达Ａ
000034,1994-05-09,27.12,2021-03-31,0.177,0.23,101.156,1.55,0.134,8.727,0.938,0.16,0.822,0.145,6.188,323.132,57.563,6.596,神州数码
000035,1994-04-08,27.21,2021-03-31,0.54,0.211,71.215,4.53,2.216,34.802,1.796,9.663,0.76,0.039,6.398,516.967,123.959,3.562,中国天楹
000036,1994-06-17,27.01,2020-12-31,0.097,0.079,5.388,4.88,3.552,3.926,0.521,0.098,0.463,0.374,7.729,108.445,58.255,14.839,华联控股
000037,1994-07-01,26.98,2021-03-31,0.007,0.059,3.56,1.69,1.636,3.438,-0.104,-0.017,0.25,0.212,-0.628,27.644,20.72,6.028,深南电A
