symbol,name
ABAQ,ABA Community Bank NASDAQ Index
ADRAI,BLDRS Asia 50 ADR Index Fund
ADRDI,BLDRS Developed Markets 100 ADR Index Fund
ADREI,BLDRS Emerging Markets 50 ADR Index Fund
ASRN,AlphaSector Rotation Index
ASRX,AlphaSector Rotation Total Return Index
ASRX,AlphaSector Rotation Total Return Index
AW01UK,FTSE All World Index data ex-US
AW01UK,FTSE All World Index data ex-US
BIXR,BetterInvesting 100 Total Return Index
BIXX,BetterInvesting 100 Index
BKX,KBW Bank Index
BTK,Amex Biotechnology Index
BTK,Amex Biotechnology Index
BXN,CBOE NASDAQ-100 BuyWrite Index
CELS,NASDAQ Clean Edge Green Energy Index
CEXX,NASDAQ Clean Edge Green Energy Total Return Index
CHXN,NASDAQ China Index
CIX100,Cryptoindex.com
CND,NASDAQ Canada
COMP,"Compass, Inc."
CTN,CSFB Technology index
CVXLF,NASDAQ OMX Alpha C vs. XLF Index
CYC,Morgan Stanley Cyclical Index
DDX,Disk Drive Index
DFX,PHLX Defense Sector
DIVQ,NASDAQ Dividend Achievers Index
DOT,TheStreet.com Internet Sector
DRG,Pharmaceutical index
DTEC,NASDAQ Dallas Regional Chamber Index
DTEC,NASDAQ Dallas Regional Chamber Index
DVQT,NASDAQ Dividend Achievers Total Return Index
DXE,Deutsche Bank Energy Index
EPX,SIG Oil Exploration & Production Index
EUR,EUROTOP 100 Index
EVSPY,NASDAQ OMX Alpha EEM vs. SPY Index
FR10UK,FTSE RAFI 1000 Index
GESPY,NASDAQ OMX Alpha GE vs. SPY Index
GOOSY,NASDAQ OMX Alpha GOOG vs. SPY Index
GOX,CBOE Gold
GVSPY,NASDAQ OMX Alpha GLD vs. SPY Index
HAUL,Wilder NASDAQ OMX Global Energy Efficient Transport Index
HGX,PHLX Housing Sector
HGX,PHLX Housing Sector
HKO,Hong Kong Option Index
IBMSY,NASDAQ OMX Alpha IBM vs. SPY Index
IIX,Inter@active Week Internet index
ILTI,NASDAQ OMX AeA Illinois Tech Index
INDU,Dow Industrials
INDU,Dow Industrials
INTSY,NASDAQ OMX Alpha INTC vs. SPY Index
INTSY,NASDAQ OMX Alpha INTC vs. SPY Index
IRX,13 Week T-Bill
ISRQ,NASDAQ Israel Index
ISRX,NASDAQ Israel Total Return
IXBK,NASDAQ Bank
IXBK,NASDAQ Bank
IXCO,NASDAQ Computer
IXCO,NASDAQ Computer
IXF,
IXF,
IXFN,NASDAQ Other Finance
IXFN,NASDAQ Other Finance
IXHC,NASDAQ Health Care Index
IXHC,NASDAQ Health Care Index
IXID,NASDAQ Industrial
IXIS,NASDAQ Insurance
IXTC,NASDAQ Telecommunications
IXTR,NASDAQ Transportation
JPN,Japan Index
JVSPY,NASDAQ OMX Alpha INTC vs. SPY Index
KRX,KBW Regional Banking Index
MFX,KBW Mortgage Finance Index
MID,S&P MidCap
MNX,Mini NASDAQ-100 Index
MOX,Morgan Stanley Internet index
MRKSY,NASDAQ OMX Alpha MRK vs. SPY Index
MSH,Morgan Stanley Technology index
MXZ,PHLX Medical Device Sector
NBI,NASDAQ Biotechnology
NBIE,NASDAQ Biotechnology Equal Weighted Index
NBIJR,Nasdaq Junior Biotechnology Index
NDX,
NDXE,The NASDAQ-100 Equal Weighted Index
NDXT,NASDAQ-100 Technology Sector Index
NDXX,NASDAQ-100 Ex-Tech Sector Index
NEUX,NASDAQ OMX Europe Index
NGX,Nasdaq Next Generation 100 Index
NIK/O,NIKKEI 225
NIK/O,NIKKEI 225
NOCO,NASDAQ OMX Carbon Excess Return Index
NOCO,NASDAQ OMX Carbon Excess Return Index
NQCICLER,NASDAQ Commodity Crude Oil Index ER
NQCICLER,NASDAQ Commodity Crude Oil Index ER
NQCIGCER,NASDAQ Commodity Gold Index ER
NQCIGCER,NASDAQ Commodity Gold Index ER
NQCIHGER,NASDAQ Commodity HG Copper Index ER
NQCIHGER,NASDAQ Commodity HG Copper Index ER
NQCINGER,NASDAQ Commodity Natural Gas Index ER
NQCINGER,NASDAQ Commodity Natural Gas Index ER
NQCISIER,NASDAQ Commodity Silver Index ER
NQCISIER,NASDAQ Commodity Silver Index ER
NQGM,NASDAQ Global Market Composite
NQGS,NASDAQ Global Select Market Composite
NQH2O,Nasdaq Veles California Water Index
NQX,NASDAQ-100 Reduced Value Index
NVSPY,NASDAQ OMX Alpha MRK vs. SPY Index
NVSPY,NASDAQ OMX Alpha MRK vs. SPY Index
NWX,Amex Networking Index
NXTQ,NASDAQ Q-50
NYA,NYSE Composite
NYA,NYSE Composite
OEX,S&P 100
OMXB10,OMX Baltic 10
OMXB10,OMX Baltic 10
OMXC20,OMX Copenhagen 20
OMXC20,OMX Copenhagen 20
OMXH25,OMX Helsinki 25
OMXH25,OMX Helsinki 25
OMXN40,OMX Nordic 40
OMXN40,OMX Nordic 40
OMXS30,OMX Stockholm 30 Index
OMXS30,OMX Stockholm 30 Index
OSX,PHLX Oil Service Sector
OSX,PHLX Oil Service Sector
PRFEI,PowerShares FTSE RAFI Energy Sector Portfolio
PRFFI,PowerShares FTSE RAFI Financials Sector Portfolio
PRFGI,PowerShares FTSE RAFI Consumer Goods Sector Portfolio
PRFHI,PowerShares FTSE RAFI Health Care Sector Portfolio
PRFMI,PowerShares FTSE RAFI Basic Materials Sector Portfolio
PRFNI,PowerShares FTSE RAFI Industrials Sector Portfolio
PRFQI,PowerShares FTSE RAFI Telecom & Tech Sector Portfolio
PRFSI,PowerShares FTSE RAFI Consumer Goods Sector Portfolio
PRFUI,PowerShares FTSE RAFI Utilities Sector Portfolio
PRFZI,PowerShares FTSE RAFI US 1500 Small-Mid Portfolio
QCLNI,First Trust NASDAQ Clean Edge U.S. Liquid Series
QCOL,NASDAQ OMX Global Coal Index
QGLD,NASDAQ OMX Global Gold & Precious Metals Index
QGRI,NASDAQ OMX Government Relief Index
QIRL,NASDAQ OMX Ireland Index
QIV,
QIV,
QMEA,NASDAQ OMX Middle East North Africa Index
QTECI,First Trust NASDAQ-100-Technology Sector
QWND,NASDAQ OMX Clean Edge Global Wind Energy Index
QXV,NASDAQ 100
SHX,PHLX Marine Shipping Sector
SOX,PHLX Semiconductor Sector
SVO,SIG Energy MLP Index
SXP,PHLX Sports Sector
TRAN,Dow Transportation
TSX,S&P/TSX Comp. Index
TVSPY,NASDAQ OMX Alpha TLT vs. SPY Index
TYX,30 Treasury
UKX100,FTSE100
UTIL,Dow15 Utilities
UTY,PHLX Utility Sector
UTY,PHLX Utility Sector
UVSPY,NASDAQ OMX Alpha GOOG vs. SPY Index
UVSPY,NASDAQ OMX Alpha GOOG vs. SPY Index
VOLNDX,Volatility NASDAQ - 100
VOLQ,Nasdaq-100 Volatility Index
WVSPY,NASDAQ OMX Alpha WMT vs. SPY Index
XAL,Airline index
XAU,PHLX Gold/Silver Sector
XAX,Amex Composite
XBD,Securities Broker/Dealer index
XCI,Computer Technology index
XCM,PHLX Chemicals Sector
XEX,PHLX Europe Sector
XII,Institutional index
XND,Nasdaq-100 Micro Index
