symbol,name,country,ipoyear,sector,industry
A,Agilent Technologies Inc. Common Stock,United States,1999,Capital Goods,Electrical Products
AA,Alcoa Corporation Common Stock ,,2016,Basic Industries,Metal Fabrications
AAC,Ares Acquisition Corporation Class A Ordinary Shares,,2021,Finance,Business Services
AACG,ATA Creativity Global American Depositary Shares,China,,Miscellaneous,Service to the Health Industry
AAIC,Arlington Asset Investment Corp Class A (new),United States,,Finance,Finance/Investors Services
AAL,American Airlines Group Inc. Common Stock,United States,,Transportation,Air Freight/Delivery Services
AAMC,Altisource Asset Management Corp Com,United States,,Finance,Investment Managers
AAME,Atlantic American Corporation Common Stock,United States,,Finance,Life Insurance
AAN,Aarons Holdings Company Inc. Common Stock ,United States,2020,Miscellaneous,Diversified Commercial Services
AAOI,Applied Optoelectronics Inc. Common Stock,United States,2013,Technology,Semiconductors
AAON,AAON Inc. Common Stock,United States,,Capital Goods,Industrial Machinery/Components
AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,United States,,Consumer Services,Other Specialty Stores
AAPL,Apple Inc. Common Stock,United States,1980,Technology,Computer Manufacturing
AAQC,Accelerate Acquisition Corp. Class A Common Stock,,2021,Finance,Business Services
AAT,American Assets Trust Inc. Common Stock,United States,2011,Consumer Services,Real Estate Investment Trusts
AAU,Almaden Minerals Ltd. Common Shares,Canada,2015,Basic Industries,Precious Metals
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,United States,,Transportation,Transportation Services
AB,AllianceBernstein Holding L.P.  Units,United States,,Finance,Investment Managers
ABB,ABB Ltd Common Stock,Switzerland,,Consumer Durables,Electrical Products
ABBV,AbbVie Inc. Common Stock,United States,2012,Health Care,Major Pharmaceuticals
ABC,AmerisourceBergen Corporation Common Stock,United States,,Health Care,Other Pharmaceuticals
ABCB,Ameris Bancorp Common Stock,United States,1994,Finance,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,Canada,2020,,
ABCM,Abcam plc American Depositary Shares,United Kingdom,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABEO,Abeona Therapeutics Inc. Common Stock,United States,,Health Care,Major Pharmaceuticals
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),,2013,Consumer Non-Durables,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,United States,2002,Consumer Services,Other Specialty Stores
ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,United States,2021,Finance,Business Services
ABIO,ARCA biopharma Inc. Common Stock,United States,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABM,ABM Industries Incorporated Common Stock,United States,,Technology,Diversified Commercial Services
ABMD,ABIOMED Inc. Common Stock,United States,,Health Care,Medical/Dental Instruments
ABNB,Airbnb Inc. Class A Common Stock,United States,2020,Capital Goods,Industrial Machinery/Components
ABOS,Acumen Pharmaceuticals Inc. Common Stock,United States,2021,,
ABR,Arbor Realty Trust Common Stock,United States,2004,Consumer Services,Real Estate Investment Trusts
ABST,Absolute Software Corporation Common Stock,Canada,2020,,
ABT,Abbott Laboratories Common Stock,United States,,Health Care,Major Pharmaceuticals
ABTX,Allegiance Bancshares Inc. Common Stock,United States,2015,Finance,Major Banks
ABUS,Arbutus Biopharma Corporation Common Stock,Canada,,,
AC,Associated Capital Group Inc. Common Stock,United States,2015,Finance,Investment Bankers/Brokers/Service
ACA,Arcosa Inc. Common Stock ,,2018,Capital Goods,Industrial Machinery/Components
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,United States,1985,Health Care,Major Pharmaceuticals
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,United States,2021,,
ACAHU,Atlantic Coastal Acquisition Corp. Unit,United States,2021,,
ACAHW,Atlantic Coastal Acquisition Corp. Warrant,United States,2021,,
ACB,Aurora Cannabis Inc. Common Shares,Canada,,,
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,Hong Kong,2021,Miscellaneous,Business Services
ACBAU,Ace Global Business Acquisition Limited Unit,Hong Kong,2021,Miscellaneous,Business Services
ACBAW,Ace Global Business Acquisition Limited Warrant,Hong Kong,2021,Miscellaneous,Business Services
ACBI,Atlantic Capital Bancshares Inc. Common Stock,United States,,Finance,Major Banks
ACC,American Campus Communities Inc Common Stock,United States,2004,Consumer Services,Real Estate Investment Trusts
ACCD,Accolade Inc. Common Stock,United States,2020,Miscellaneous,Business Services
ACCO,Acco Brands Corporation Common Stock,United States,,Consumer Services,Advertising
ACEL,Accel Entertainment Inc. ,United States,2017,Consumer Services,Recreational Products/Toys
ACER,Acer Therapeutics Inc. Common Stock (DE),United States,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACET,Adicet Bio Inc. Common Stock ,United States,2018,Health Care,Major Pharmaceuticals
ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares,United States,2020,Technology,Semiconductors
ACEVU,ACE Convergence Acquisition Corp. Unit,United States,2020,Technology,Semiconductors
ACEVW,ACE Convergence Acquisition Corp. Warrant,United States,2020,Technology,Semiconductors
ACGL,Arch Capital Group Ltd. Common Stock,Bermuda,,Finance,Property-Casualty Insurers
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,Bermuda,,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,Bermuda,,Finance,Property-Casualty Insurers
ACGLP,Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,Bermuda,,Finance,Property-Casualty Insurers
ACH,Aluminum Corporation of China Limited American Depositary Shares,China,2001,Basic Industries,Aluminum
ACHC,Acadia Healthcare Company Inc. Common Stock,United States,,Health Care,Hospital/Nursing Management
ACHL,Achilles Therapeutics plc American Depositary Shares,United Kingdom,2021,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACHV,Achieve Life Sciences Inc. Common Shares,United States,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACI,Albertsons Companies Inc. Class A Common Stock,United States,2020,Consumer Services,Food Chains
ACIC,Atlas Crest Investment Corp. Class A Common Stock,United States,2020,,
ACII,Atlas Crest Investment Corp. II Class A Common Stock,,2021,,
ACIU,AC Immune SA Common Stock,Switzerland,2016,Health Care,Major Pharmaceuticals
ACIW,ACI Worldwide Inc. Common Stock,United States,,Technology,EDP Services
ACKIT,Ackrell SPAC Partners I Co. Subunits,United States,2021,,
ACKIU,Ackrell SPAC Partners I Co. Units,United States,2020,,
ACKIW,Ackrell SPAC Partners I Co. Warrants,United States,2021,Finance,Business Services
ACLS,Axcelis Technologies Inc. Common Stock,United States,2000,Technology,Industrial Machinery/Components
ACM,AECOM Common Stock,United States,2007,Consumer Services,Military/Government/Technical
ACMR,ACM Research Inc. Class A Common Stock,United States,2017,Technology,Industrial Machinery/Components
ACN,Accenture plc Class A Ordinary Shares (Ireland),Ireland,2001,Technology,EDP Services
ACNB,ACNB Corporation Common Stock,United States,,Finance,Major Banks
ACND,Ascendant Digital Acquisition Corp. Class A Ordinary Shares,United States,2020,Technology,Computer Software: Prepackaged Software
ACOR,Acorda Therapeutics Inc. Common Stock,United States,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACP,Aberdeen Income Credit Strategies Fund Common Shares,United States,2011,Finance,Investment Managers
ACQR,Independence Holdings Corp. Class A Ordinary Share,United States,2021,Finance,Business Services
ACQRU,Independence Holdings Corp. Units,United States,2021,Finance,Business Services
ACQRW,Independence Holdings Corp. Warrant,United States,2021,Finance,Business Services
ACR,ACRES Commercial Realty Corp. Common Stock,United States,,Consumer Services,Real Estate Investment Trusts
ACRE,Ares Commercial Real Estate Corporation Common Stock,United States,2012,Consumer Services,Real Estate Investment Trusts
ACRS,Aclaris Therapeutics Inc. Common Stock,United States,2015,Health Care,Major Pharmaceuticals
ACRX,AcelRx Pharmaceuticals Inc. Common Stock,United States,2011,Consumer Durables,Specialty Chemicals
ACST,Acasti Pharma Inc. Class A Common Stock,Canada,,,
ACTD,ArcLight Clean Transition Corp. II Class A Ordinary Share,United States,2021,,
ACTDU,ArcLight Clean Transition Corp. II Unit,United States,2021,,
ACTDW,ArcLight Clean Transition Corp. II Warrant,United States,2021,Finance,Business Services
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,United States,,Miscellaneous,Multi-Sector Companies
ACU,Acme United Corporation. Common Stock,United States,1988,Consumer Durables,Home Furnishings
ACV,Virtus AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest,United States,2015,Finance,Finance/Investors Services
ACVA,ACV Auctions Inc. Class A Common Stock,United States,2021,Technology,EDP Services
ACXP,Acurx Pharmaceuticals Inc. Common Stock,United States,2021,,
ACY,AeroCentury Corp. Common Stock,United States,,Technology,Diversified Commercial Services
ADAG,Adagene Inc. American Depositary Shares,China,2021,Health Care,Major Pharmaceuticals
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,United Kingdom,2015,Health Care,Major Pharmaceuticals
ADBE,Adobe Inc. Common Stock,United States,1986,Technology,Computer Software: Prepackaged Software
ADC,Agree Realty Corporation Common Stock,United States,,Consumer Services,Real Estate Investment Trusts
ADCT,ADC Therapeutics SA Common Shares,,2020,Health Care,Major Pharmaceuticals
ADER,26 Capital Acquisition Corp. Class A Common Stock,United States,2021,,
ADERU,26 Capital Acquisition Corp. Unit,United States,2021,,
ADERW,26 Capital Acquisition Corp. Warrant,United States,2021,Finance,Business Services
ADES,Advanced Emissions Solutions Inc. Common Stock,United States,,Basic Industries,Industrial Specialties
ADEX,Adit EdTech Acquisition Corp. Common Stock,,2021,,
ADI,Analog Devices Inc. Common Stock,United States,,Technology,Semiconductors
ADIL,Adial Pharmaceuticals Inc Common Stock,United States,2018,Health Care,Major Pharmaceuticals
ADILW,Adial Pharmaceuticals Inc Warrant,United States,2018,Health Care,Major Pharmaceuticals
ADM,Archer-Daniels-Midland Company Common Stock,United States,,Consumer Non-Durables,Farming/Seeds/Milling
ADMA,ADMA Biologics Inc Common Stock,United States,,Health Care,Major Pharmaceuticals
ADMP,Adamis Pharmaceuticals Corporation Common Stock,United States,,Health Care,Major Pharmaceuticals
ADMS,Adamas Pharmaceuticals Inc. Common Stock,United States,2014,Health Care,Major Pharmaceuticals
ADN,Advent Technologies Holdings Inc. Class A Common Stock,United States,2018,,
ADNT,Adient plc Ordinary Shares ,,2016,Capital Goods,Auto Parts:O.E.M.
ADNWW,Advent Technologies Holdings Inc. Warrant,United States,2018,,
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,United States,2020,Finance,Business Services
ADOCR,Edoc Acquisition Corp. Right,United States,2020,Finance,Business Services
ADOCW,Edoc Acquisition Corp. Warrant,United States,2020,Finance,Business Services
