symbol,name,strategy
603392,万泰生物,buy_early_never_sell
603290,斯达半导,buy_early_never_sell
605111,新洁能,buy_early_never_sell
300841,康华生物,macd
300782,卓胜微,buy_early_never_sell
605199,葫芦娃,trix
300850,新强联,buy_early_never_sell
300832,新产业,boll
688068,热景生物,dma
601865,福莱特,trix
003031,中瓷电子,cci
300896,爱美客,buy_early_never_sell
688399,硕世生物,vhf
300748,金力永磁,boll
300842,帝科股份,vhf
603613,国联股份,buy_early_never_sell
688699,明微电子,buy_ma30_never_sell
605089,味知香,buy_early_never_sell
300855,图南股份,boll
603719,良品铺子,boll
002975,博杰股份,cci
003006,百亚股份,buy_early_never_sell
605338,巴比食品,boll
605369,拱东医疗,buy_early_never_sell
002979,雷赛智能,buy_early_never_sell
300763,锦浪科技,buy_early_never_sell
605168,三人行,vhf
605337,李子园,buy_early_never_sell
603087,甘李药业,trix
688598,金博股份,bias
300601,康泰生物,buy_early_never_sell
300767,震安科技,buy_early_never_sell
300820,英杰电气,boll
603489,八方股份,vhf
300792,壹网壹创,boll
300725,药石科技,vhf
603259,药明康德,trix
603267,鸿远电子,buy_early_never_sell
300785,值得买,vhf
603486,科沃斯,price_cross_ma30
603127,昭衍新药,buy_early_never_sell
300816,艾可蓝,macd
002973,侨银股份,boll
688298,东方生物,ma5_cross_ma30
688036,传音控股,buy_ma30_never_sell
300751,迈为股份,buy_early_never_sell
603501,韦尔股份,buy_early_never_sell
688169,石头科技,buy_ma30_never_sell
300595,欧普康视,buy_early_never_sell
300750,宁德时代,buy_early_never_sell
688363,华熙生物,rsi_cross
002968,新大正,cci
603185,上机数控,cci_wr
603195,公牛集团,trix
603533,掌阅科技,boll
300684,中石科技,cci
300661,圣邦股份,kdj
300760,迈瑞医疗,buy_early_never_sell
603882,金域医学,buy_early_never_sell
300747,锐科激光,trix
603236,移远通信,vhf
603927,中科软,cci
300618,寒锐钴业,macd
300677,英科医疗,buy_early_never_sell
603638,艾迪精密,buy_early_never_sell
002932,明德生物,trix
603345,安井食品,buy_early_never_sell
300685,艾德生物,buy_early_never_sell
603986,兆易创新,buy_early_never_sell
300571,平治信息,cci
002821,凯莱英,buy_early_never_sell
002950,奥美医疗,cci
688029,南微医学,bias
603301,振德医疗,vhf
688006,杭可科技,boll
002812,恩捷股份,buy_early_never_sell
300638,广和通,buy_early_never_sell
300724,捷佳伟创,buy_early_never_sell
300630,普利制药,buy_early_never_sell
603605,珀莱雅,buy_early_never_sell
603666,亿嘉和,macd
002803,吉宏股份,ma5_cross_ma30
603707,健友股份,buy_early_never_sell
603317,天味食品,buy_early_never_sell
603039,泛微网络,buy_early_never_sell
688188,柏楚电子,buy_ma30_never_sell
601888,中国中免,buy_early_never_sell
002810,山东赫达,cci_wr
300773,拉卡拉,boll
603129,春风动力,vhf
300783,三只松鼠,cci
601100,恒立液压,buy_ma30_never_sell
603697,有友食品,boll
601012,隆基股份,buy_early_never_sell
002916,深南电路,boll
002959,小熊电器,cci
300122,智飞生物,buy_early_never_sell
002901,大博医疗,macd
300788,中信出版,cci
002960,青鸟消防,trix
300529,健帆生物,buy_early_never_sell
300755,华致酒行,buy_early_never_sell
002931,锋龙股份,boll
300662,科锐国际,buy_early_never_sell
603283,赛腾股份,cci
300653,正海生物,price_cross_ma30
603881,数据港,vhf
603659,璞泰来,buy_early_never_sell
002838,道恩股份,vhf
300628,亿联网络,buy_early_never_sell
002714,牧原股份,buy_early_never_sell
300715,凯伦股份,vhf
002851,麦格米特,boll
002925,盈趣科技,boll
002841,视源股份,boll
603416,信捷电气,cci
603160,汇顶科技,cci
603583,捷昌驱动,ma5_cross_ma30
603960,克来机电,buy_early_never_sell
300572,安车检测,cci
600436,片仔癀,buy_early_never_sell
300015,爱尔眼科,buy_ma30_never_sell
603260,合盛硅业,cci_wr
300531,优博讯,boll
300558,贝达药业,vhf
600309,万华化学,buy_early_never_sell
002907,华森制药,cci
002953,日丰股份,boll
600519,贵州茅台,buy_early_never_sell
603663,三祥新材,vhf
300738,奥飞数据,cci_wr
300701,森霸传感,cci_wr
300347,泰格医药,buy_early_never_sell
300726,宏达电子,buy_early_never_sell
300624,万兴科技,cci
603444,吉比特,buy_early_never_sell
603826,坤彩科技,buy_early_never_sell
002949,华阳国际,macd
002878,元隆雅图,macd
603970,中农立华,boll
603060,国检集团,macd
603363,傲农生物,cci
002833,弘亚数控,cci
603187,海容冷链,price_cross_ma30
300578,会畅通讯,boll
603288,海天味业,buy_early_never_sell
603517,绝味食品,buy_early_never_sell
603466,风语筑,macd
300602,飞荣达,boll
603806,福斯特,dma
300567,精测电子,buy_early_never_sell
300596,利安隆,boll
600031,三一重工,buy_ma30_never_sell
603658,安图生物,buy_early_never_sell
300607,拓斯达,boll
600556,天下秀,cci
300357,我武生物,buy_early_never_sell
002837,英维克,boll
300450,先导智能,buy_ma30_never_sell
603369,今世缘,cci_wr
002507,涪陵榨菜,buy_early_never_sell
603208,江山欧派,trix
002880,卫光生物,boll
603650,彤程新材,macd
603203,快克股份,macd
002913,奥士康,bias
000338,潍柴动力,buy_early_never_sell
300124,汇川技术,buy_early_never_sell
300033,同花顺,boll
300702,天宇股份,boll
600276,恒瑞医药,buy_early_never_sell
603305,旭升股份,cci
603506,南都物业,bias
002415,海康威视,buy_ma30_never_sell
603387,基蛋生物,vhf
300559,佳发教育,cci_wr
600298,安琪酵母,cci_wr
603180,金牌厨柜,price_cross_ma30
603233,大参林,buy_early_never_sell
300413,芒果超媒,buy_early_never_sell
603899,晨光文具,buy_early_never_sell
300686,智动力,boll
603338,浙江鼎力,buy_early_never_sell
300737,科顺股份,cci
603079,圣达生物,boll
002142,宁波银行,buy_ma30_never_sell
300298,三诺生物,boll
603027,千禾味业,buy_early_never_sell
002832,比音勒芬,cci
603337,杰克股份,kdj
603040,新坐标,macd
600585,海螺水泥,buy_ma30_never_sell
600036,招商银行,buy_ma30_never_sell
603165,荣晟环保,cci
603816,顾家家居,buy_early_never_sell
002001,新 和 成,buy_early_never_sell
603639,海利尔,boll
300482,万孚生物,buy_early_never_sell
300729,乐歌股份,boll
002258,利尔化学,rsi_cross
603833,欧派家居,buy_early_never_sell
000651,格力电器,buy_early_never_sell
300481,濮阳惠成,boll
603238,诺邦股份,cci
002007,华兰生物,boll
300394,天孚通信,vhf
603757,大元泵业,cci
300415,伊之密,rsi_cross
300496,中科创达,trix
002597,金禾实业,cci_wr
000963,华东医药,buy_early_never_sell
002508,老板电器,cci
603568,伟明环保,boll
002146,荣盛发展,cci
601318,中国平安,buy_ma30_never_sell
