symbol,name,indicators
603638,艾迪精密,cci + boll
300122,智飞生物,boll
601888,中国中免,mfi
300529,健帆生物,dma + trix
300628,亿联网络,dma + boll
600519,贵州茅台,cci
002901,大博医疗,macd
603444,吉比特,mfi
600031,三一重工,sar + ma
600276,恒瑞医药,trix
300558,贝达药业,dma + vhf
002415,海康威视,dma
603233,大参林,mfi + kdj
603260,合盛硅业,boll
300450,先导智能,dma
000651,格力电器,kdj
300601,康泰生物,trix
603501,韦尔股份,trix
603259,药明康德,dma
603882,金域医学,dma
603486,科沃斯,mfi
603986,兆易创新,dma
603345,安井食品,cci
002821,凯莱英,wr
603707,健友股份,mfi
002812,恩捷股份,cci
601012,隆基股份,dma
601100,恒立液压,mfi
002714,牧原股份,mfi
002916,深南电路,boll
600309,万华化学,mfi
603659,璞泰来,dma
600436,片仔癀,dma
300015,爱尔眼科,mfi + kdj
300347,泰格医药,mfi + vhf
603288,海天味业,mfi + sar
300726,宏达电子,boll
002507,涪陵榨菜,kdj
603899,晨光文具,mfi + kdj
000338,潍柴动力,sar + macd
603338,浙江鼎力,kdj
300124,汇川技术,vhf + boll
603806,福斯特,dma + mfi
300702,天宇股份,boll
300413,芒果超媒,dma
603369,今世缘,cci
002142,宁波银行,rsi
300482,万孚生物,trix
600585,海螺水泥,kdj
600298,安琪酵母,sar
002001,新 和 成,mfi
603466,风语筑,trix
600036,招商银行,cci
300737,科顺股份,cci + boll
002258,利尔化学,kdj + wr
002597,金禾实业,macd
000963,华东医药,kdj
002007,华兰生物,boll
601318,中国平安,cci
000547,航天发展,dma
600048,保利地产,wr
601808,中海油服,sar
600009,上海机场,mfi
601166,兴业银行,macd
000333,美的集团,mfi
300033,同花顺,boll
300357,我武生物,sar + kdj
000002,万科A,cci + kdj
